timestamp,senamhi_flow,senamhi_level,velocimetry
1745701223000,34.1574,0.31,"[1.339527943801704, 1.403347425674066, 1.6929169875436372, 1.8435367018569908, 2.3170414976325997, 2.711559041243149, 2.8734715218235563, 2.9834921475374427, 3.087765876157416, 3.109272294955657, 2.9289726761985553, 2.6396995504573453, 2.185085638302641, 1.7957976207106636, 1.480084084258898, 1.1789015162296395, 0.87834931444307]"
1746849623000,39.5354,0.39,"[1.4319675542727335, 1.6923320098826666, 1.9165767519585128, 2.2041841955798, 2.7052625039707614, 3.050973600711051, 3.245307035056536, 3.4586712840793177, 3.407878327344209, 3.1907535960627396, 2.7347227766833977, 2.142606619645503, 1.84533509762924, 1.610746450730635, 1.412342794050656, 1.1738085429451226, 0.9564417296121378]"
1746334824000,60.7109,0.705,"[2.1121844269307135, 2.182904811877015, 2.4200344090357886, 2.8530001458456637, 3.4223106015819487, 3.786559016302806, 4.058181972244506, 4.255959021874911, 3.871469831820521, 3.566080009482661, 3.5626779920878797, 3.0305541597269126, 2.694601236469132, 2.299113511401701, 2.016273503938308, 1.78026031233185, 1.4658350762953178]"
1751238017000,28.0286,0.1,"[1.1459331580812206, 1.0914666223900775, 1.081392601859111, 1.165231958113247, 1.5811487949570135, 1.8871104125973108, 1.9367327221005186, 1.649841239405141, 2.106876456938283, 2.17148571792056, 2.013441937638735, 1.7155581105511857, 1.5239248647393664, 1.2070459630827373, 0.6656196478500889, 0.651928287554314, 0.5253422403098212]"
1746781220000,38.1909,0.37,"[1.3669274055718668, 1.642216467161269, 1.860127056790985, 2.1645625917768005, 2.6153244345744153, 2.992972816737713, 3.123195847902893, 3.236018142320285, 3.2100688925375844, 3.0579376422345015, 2.674534167114981, 2.1239537850390446, 1.7467548527156302, 1.5304731516129157, 1.3225784623926484, 1.1410177815134663, 1.0024092005496323]"
1745931622000,30.124,0.25,"[1.288575393878116, 1.3981377951167402, 1.6664277398451026, 1.7847920526142358, 2.274354768627556, 2.562648020106328, 2.6842439719797113, 2.770260325334176, 2.9427481859714626, 2.98208036308912, 2.762294332293096, 2.455175731294959, 2.0273334353001635, 1.660461834854376, 1.3524517977759287, 1.0952129457571564, 0.8635331650772627]"
1748617217000,23.7377,0.155,"[1.1493894009514005, 1.1659548668365551, 1.3843497916272924, 1.7626600513104234, 2.1966832972703556, 2.4435201393164334, 2.418351389390717, 2.177168479060214, 2.2872469599111254, 2.3756726268119834, 2.3007887705019665, 2.0399890752315275, 1.8084720096470446, 1.432057027010949, 0.9929791183384867, 0.8776946303547293, 0.7572947484975656]"
1748833216000,32.9891,0.18,"[1.384661375687316, 1.53971195820488, 1.6724625636453332, 1.7942022827547492, 2.0503552475672815, 2.2502551802578075, 2.414867718406075, 2.4336496806050327, 2.274056615184683, 2.0856177581436555, 1.9570992353592331, 1.5621357493340928, 1.3302315340982847, 1.2376420893754223, 0.925440336490241, 0.8113420505831646, 0.763340331743813]"
1749603616000,28.6487,0.11,"[1.328704913563108, 1.4819532642679076, 1.5601066568200908, 1.644924507770293, 1.8821027331244984, 2.046284118761293, 2.219069506690413, 2.050170255994381, 2.109044843628256, 2.1447154146152316, 2.0250448540919486, 1.5473635646388353, 1.3330368521527787, 1.1256797005651769, 0.7423722227830207, 0.6966759291344338, 0.8168118854674202]"
1746907225000,40.8798,0.41,"[1.2935620595368678, 1.3978168466018308, 1.854237897328759, 2.3720868701236966, 2.8059673698850762, 2.921007279936825, 3.053708103757767, 3.2560637573743145, 3.4393786299402223, 3.421220044942219, 3.145726697785993, 2.7168027126032634, 2.314107850165118, 1.852187439413692, 1.5673881429078471, 1.2332121266785228, 1.0409070580865067]"
